,samples,backend,num_executions,sampling_time_mean,sampling_time_std,metropolis_time_mean,metropolis_time_std,total_time_mean,total_time_std
0,100,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
1,100,cmsgen,3,14.116254250208536,1.000639660830119,0.004867871602376302,0.002185537199282941,14.121122121810913,1.0027964087337649
2,100,megasampler,3,600.0204775333405,0.02895960537401742,0.0010752677917480469,0.0015206582942730567,600.0215528011322,0.030480263668290476
3,500,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
4,500,cmsgen,3,56.12203526496887,2.117508233023752,0.009390989939371744,0.004429902986506352,56.13142625490824,2.121297575221195
5,500,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
6,1000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
7,1000,cmsgen,3,100.6669340133667,0.9920624442109957,0.009250561396280924,5.0453312276628465e-05,100.67618457476298,0.9921097094794318
8,1000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
9,3000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
10,3000,cmsgen,3,291.48258741696674,10.25723244467742,0.024804989496866863,0.0004443415074791155,291.5073924064636,10.257583335301577
11,3000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
12,7000,spur,3,600.0,0.0,0.0,0.0,600.0,0.0
13,7000,cmsgen,3,600.0,0.0,0.0,0.0,600.0,0.0
14,7000,megasampler,3,600.0,0.0,0.0,0.0,600.0,0.0
