#START_HEADER
start_time,Fri Feb 23 14:59:15 2024
formula_file,spur_input/Database2.cnf
num_vars,47
independent_support_size,0
num_clauses,151
tot_num_models,16
max_component_split_depth,0
max_branch_var_depth,5
num_samples,10000
num_second_pass_groups,4
num_second_pass_vars,0,4,11,8
avg_second_pass_var,5.75
execution_time,0.015612
pass1_time,0.007988
pass2_time,0.007624
#END_HEADER


#START_SAMPLES
604,00000000110000001100000011111110000011101101110
656,11000000000000001100000011111110000011101101110
637,00000000000000000000000011111110001011111101110
604,00000000111100001111000011111110000000000001110
642,11000000001100001111000011111110000000000001110
659,00000000001100000011000011111110001010011101110
623,00110000110000001111000011111110000000000001110
596,11110000000000001111000011111110000000000001110
610,00110000000000000011000011111110001010011101110
658,00110000111100001100110011101111000011101111100
580,11110000001100001100110011101111000011101111100
635,00110000001100000000110011101111001011111111100
607,11000000110000000011000010111110001010011101110
618,11000000111100000000110010110111001011111111100
627,11110000110000000000110010011111001011111111100
644,11110000111100000011110010000111001010011110000
#END_SAMPLES
